FID,FID_P9inch,FID_1,Shape_Leng,Shape_Area,Shape__Are,Shape__Len,FID_clip_t,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,area,interarea,percentage
35,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,166,25,025,170601,25025170601,1706.01,Census Tract 1706.01,G5020,S,1277344.000000000000000,85936.000000000000000,+42.4073348,-071.0076986,311.932255473999990,3.508268530000000,0.011246892453200
36,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,167,25,025,160502,25025160502,1605.02,Census Tract 1605.02,G5020,S,1152306.000000000000000,282671.000000000000000,+42.3965390,-071.0183981,280.445720875000010,108.465443035000010,0.386760912937000
37,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,168,25,025,180301,25025180301,1803.01,Census Tract 1803.01,G5020,S,721121.000000000000000,293948.000000000000000,+42.3722211,-070.9899980,178.179292513000010,6.924654960690000,0.038863410349400
38,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,169,25,025,051000,25025051000,510,Census Tract 510,G5020,S,1044305.000000000000000,210152.000000000000000,+42.3873027,-071.0161271,257.807297674999970,13.453822517400001,0.052185576741700
39,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,170,25,025,030400,25025030400,304,Census Tract 304,G5020,S,108635.000000000000000,0.000000000000000,+42.3644367,-071.0541678,26.840956817500000,0.436658816079000,0.016268377429600
40,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,171,25,025,030300,25025030300,303,Census Tract 303,G5020,S,691377.000000000000000,234496.000000000000000,+42.3600562,-071.0532861,169.886468753000000,55.123960899600000,0.324475288139000
41,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,180,25,025,050101,25025050101,501.01,Census Tract 501.01,G5020,S,299772.000000000000000,184516.000000000000000,+42.3816657,-071.0397908,74.121888640899996,9.914435457840000,0.133758537992000
42,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,181,25,025,050901,25025050901,509.01,Census Tract 509.01,G5020,S,614932.000000000000000,194139.000000000000000,+42.3819368,-071.0295001,151.948273696999990,28.650056210799999,0.188551376819000
43,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,182,25,025,160300,25025160300,1603,Census Tract 1603,G5020,S,567067.000000000000000,294165.000000000000000,+42.3880151,-071.0467339,141.886937749000000,21.717896441699999,0.153064804881000
44,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,183,25,025,160101,25025160101,1601.01,Census Tract 1601.01,G5020,S,707020.000000000000000,55916.000000000000000,+42.3889705,-071.0284298,175.354197340000010,48.600578737699998,0.277156631977000
45,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,184,25,025,060501,25025060501,605.01,Census Tract 605.01,G5020,S,411742.000000000000000,0.000000000000000,+42.3368686,-071.0382133,101.733112559000010,0.100183365120000,0.000984766538642
46,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,185,25,025,981202,25025981202,9812.02,Census Tract 9812.02,G5020,S,1594870.000000000000000,933939.000000000000000,+42.3439164,-071.0243619,391.220099190999970,187.350068206000000,0.478886612915000
47,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,186,25,025,040100,25025040100,401,Census Tract 401,G5020,S,259341.000000000000000,64873.000000000000000,+42.3729980,-071.0601499,64.261569191700005,6.381518540170000,0.099305364317100
48,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,187,25,025,040600,25025040600,406,Census Tract 406,G5020,S,1426899.000000000000000,420711.000000000000000,+42.3830719,-071.0699730,353.722048046999990,30.716487128000001,0.086837920614800
49,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,195,25,025,040401,25025040401,404.01,Census Tract 404.01,G5020,S,429844.000000000000000,28580.000000000000000,+42.3741334,-071.0663888,107.015870535999990,3.565583305510000,0.033318266605200
50,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,196,25,025,020303,25025020303,203.03,Census Tract 203.03,G5020,S,448840.000000000000000,78767.000000000000000,+42.3659600,-071.0634677,111.316039504000000,38.265095650299997,0.343751860206000
51,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,197,25,025,070402,25025070402,704.02,Census Tract 704.02,G5020,S,267664.000000000000000,10223.000000000000000,+42.3451368,-071.0644405,65.869917159400003,1.089178621800000,0.016535296669100
52,0,1,472997.757600000010000,78012053.963400006000000,0.008522542545750,5.068807502370000,199,25,025,020301,25025020301,203.01,Census Tract 203.01,G5020,S,256258.000000000000000,328.000000000000000,+42.3631745,-071.0686463,63.200015045999997,0.510300851762000,0.008074378643590
