,RESPONDENT ID,AGENCY,PANEL NAME,TRANSMITTAL SHEET NAME,LAR COUNT
32,0000002242,1,HAVANA NB,HAVANA NATIONAL BANK,67
33,0000002302,1,FIRST NB,FIRST NATIONAL BANK,146
34,0000002311,1,CAMDEN NB,CAMDEN NATIONAL BANK,2700
35,0000002360,1,LCNB NB,LCNB NATIONAL BANK,755
36,0000002449,1,MERCHANTS NB,MERCHANTS NATIONAL BANK,565
37,0000002477,1,FIRST NB,FIRST NATIONAL BANK OF WEATHER,46
38,0000002503,1,HOMETOWN NB,HOMETOWN NATIONAL BANK,189
39,0000002515,1,EPHRATA NB,THE EPHRATA NATIONAL BANK,1143
40,0000002725,1,FIRST NAT B&TC,FIRST NATIONAL BANK AND TRUST,1061
41,0000002747,1,HORIZON BK NA,"HORIZON BANK, N.A.",3979
42,0000002782,1,INTRUST BK NA,"INTRUST BANK, N.A.",1834
43,0000003060,1,JONES NB&TC OF SEWARD,JONES NATIONAL BANK AND TRUST,43
44,0000003105,1,FIRST NB,FIRST NATIONAL BANK,211
45,0000003124,1,SECURITY NB SIOUX CITY,SECURITY NB OF SIOUX CITY IA,463
46,0000003147,1,NATIONAL BK OF MALVERN,THE NATIONAL BANK OF MALVERN,42
47,0000003180,1,FIRST NB OF HUTCHINSON,FIRST NATIONAL BANK HUTCHINSON,279
48,0000003393,1,FIRST NB IN SIOUX FALLS,THE FIRST NB IN SIOUX FALLS,477
49,0000003533,1,FIRST NB,THE FNB BALLINGER,48
50,0000003654,1,FARMERS NB,FARMERS NATIONAL BANK,1331
51,0000003656,1,CADENCE BK NA,"CADENCE BANK, N.A.",3921
52,0000003711,1,ATLANTA NB,THE ATLANTA NATIONAL BANK,21
53,0000003724,1,FIRST NB FOX VALLEY,FIRST NATIONAL BANK - FOX VALL,476
54,0000003727,1,FIRST NB,THE FIRST NATIONAL BANK OF GRA,613
55,0000003817,1,CANANDAIGUA NB&TC,CANANDAIGUA NATIONAL BANK,1198
,RESPONDENT ID,AGENCY,PANEL NAME,TRANSMITTAL SHEET NAME,LAR COUNT
56,0000003956,1,BAKER BOYER NB,BAKER BOYER BANK,261
57,0000004039,1,FIRST NB OF MIFFLINTOWN,THE FIRST NATIONAL BANK OF MIF,362
58,0000004076,1,FIRST NB,FIRST NATIONAL BANK MCGREGOR,204
59,0000004093,1,FIRST NB,FIRST NATIONAL BANK OF BASTROP,435
60,0000004097,1,NATIONAL BK,NATIONAL BANK,154
61,0000004107,1,NATIONAL CAPITAL BK OF WA,NATIONAL CAPITAL BANK,32
62,0000004137,1,STEPHENSON NB&TC,THE STEPHENSON NAT'L BANK & TR,410
63,0000004166,1,FIRST FNCL BK NA,FIRST FINANCIAL BANK N. A.,5298
64,0000004208,1,FIRST NB,FIRST NATIONAL BANK OF HUNTSVI,309
65,0000004230,1,SUFFOLK CTY NB,SUFFOLK COUNTY NATIONAL BANK,197
66,0000004238,1,FIRST NB,FIRST NATIONAL BANK OF BEEVILL,74
67,0000004241,1,FIRST NB,FIRST NATL BANK OF BELLVILLE,70
68,0000004246,1,COMANCHE NB,COMANCHE NATIONAL BANK,110
69,0000004265,1,LEGEND BK NA,LEGEND BANK,352
70,0000004284,1,CENTRAL NB,CENTRAL NATIONAL BANK,1596
71,0000004596,1,OLD SECOND NB,OLD SECOND NATIONAL BANK,1581
72,0000004620,1,FIRST NB OF BERLIN,THE FIRST NATIONAL BANK OF BER,430
73,0000004701,1,TEXAS HERITAGE NB,TEXAS HERITAGE NATIONAL BANK,60
74,0000004742,1,SUNFLOWER BK NA,"SUNFLOWER BANK, N.A.",979
75,0000004860,1,MIDLAND NB OF NEWTON,MIDLAND NATIONAL BANK,177
76,0000004934,1,FIRST NB OF CARMI,THE FIRST NATIONAL BANK OF CAR,257
77,0000004975,1,BANK FIRST NAT,BANK FIRST NATIONAL,1058
78,0000004994,1,FIRST NB,THE FIRST NATIONAL BANK,178
79,0000005073,1,NEXTIER BK NA,NEXTIER BANK N.A.,494
80,0000005203,1,WAGGONER NB,WAGGONER NATIONAL BANK,110
81,0000005224,1,FIRST NB OF PAWNEE,FIRST NATIONAL BANK OF PAWNEE,30
82,0000005263,1,FIRST CITIZENS NB,FIRST CITIZENS NATIONAL BANK,878
83,0000005267,1,RIDDELL NB,RIDDELL NATIONAL BANK,351
84,0000005275,1,CITY NB,CITY NATIONAL BANK OF TAYLOR,100
85,0000005288,1,FIRST NB,FIRST NATIONAL BANK OF GILMER,208
86,0000005413,1,RAWLINS NB,THE RAWLINS NATIONAL BANK,24
87,0000005425,1,LIBERTY NB,LIBERTY NATIONAL BANK,262
88,0000005466,1,FIRST NB,FIRST NATIONAL BANK OF SONORA,366
89,0000005481,1,FARMERS NB,THE FARMERS NATIONAL BANK OF E,742
90,0000005484,1,CITIZENS NB,CITIZENS NATIONAL BANK,55
91,0000005528,1,FIRST NB OF MANCHESTER,FIRST NATIONAL BANK,151
92,0000005547,1,FIRST NB&TC,FIRST NATIONAL BANK & TRUST CO,266
93,0000005581,1,AUSTIN BK TX NA,AUSTIN BANK TEXAS NA,1165
94,0000005599,1,MARS NB,MARS NATIONAL BANK,486
95,0000005628,1,FIRST NB,FIRST NATIONAL BANK OF SHINER,93
96,0000005629,1,FCN BK NA,"FCN BANK, NATIONAL ASSOCIATION",359
97,0000005658,1,PESHTIGO NB,THE PESHTIGO NATIONAL BANK,118
98,0000005674,1,FIRST NB,FIRST NATIONAL BANK,52
99,0000005737,1,FIRST NB,THE FIRST NATIONAL BANK OF TRE,1379
100,0000005741,1,GILMER NB,GILMER NATIONAL BANK,58
101,0000005750,1,DBA FIRST CONVENIENCE BK,FIRST NATIONAL BANK TEXAS,1757
102,0000005753,1,CITY NB&TC,CITY NATIONAL BANK,330
103,0000005774,1,FIRST NB,FIRST NATIONAL BANK OF MOODY,28
104,0000005815,1,RESOURCE BK NA,"RESOURCE BANK, N.A.",120
105,0000005842,1,HOME NB OF THORNTOWN,HOME NATIONAL BANK,54
106,0000005850,1,FIRST NB CENTRAL TX,FIRST NATIONAL BANK OF CENTRAL,187
107,0000005886,1,RAMSEY NB,RAMSEY NATIONAL BANK,60
108,0000005932,1,FIRST NB OF KEMP,FIRST NATIONAL BANK OF KEMP,85
109,0000006030,1,FIRST NB OF LAS ANIMAS,THE FIRST NB OF LAS ANIMAS,129
110,0000006091,1,FIRST NB,FIRST NATIONAL BANK OF ANSON,82
,RESPONDENT ID,AGENCY,PANEL NAME,TRANSMITTAL SHEET NAME,LAR COUNT
111,0000006101,1,FIRST NB OF KS,FIRST NATIONAL BANK OF KANSAS,29
112,0000006112,1,NEWFIRST NB,NEWFIRST NATIONAL BANK,85
113,0000006207,1,QUEENSBOROUGH NB&TC,QUEENSBOROUGH NB&TC,1157
114,0000006375,1,FARMERS NB,FARMERS NATIONAL BANK,209
115,0000006417,1,MINNESOTA NB,MINNESOTA NATIONAL BANK,125
116,0000006487,1,FIRST NB OF DRYDEN,FIRST NATIONAL BANK OF DRYDEN,94
117,0000006635,1,HNB NB,HNB NATIONAL BANK,787
118,0000006667,1,PEOPLES NB,THE PEOPLES NATIONAL BANK OF M,133
119,0000006684,1,GRAND RIDGE NB,GRAND RIDGE NATIONAL BANK,17
120,0000006707,1,FIRST NB OF ELMER,THE FIRST NAT'L BANK OF ELMER,51
121,0000006813,1,FIRST NB,FIRST NATIONAL BANK,78
122,0000006879,1,FIRST NB OF COWETA,FIRST NATIONAL BANK OF,27
123,0000006910,1,FIRST NB OF RAYMOND,FIRST NATIONAL BANK OF RAYMOND,122
124,0000006921,1,FIRST NB OF LE CENTER,FNB,70
125,0000006922,1,FIRST NB,THE FIRST NATIONAL BANK,129
126,0000006991,1,MINERS NB OF EVELETH,MINERS NB OF EVELETH,70
127,0000007087,1,FIRST NB OF RIVER FALLS,FIRST NATIONAL BANK OF RIVER F,266
128,0000007115,1,FIRST NB&TC OF BROKEN ARROW,THE FIRST NATIONAL BANK AND TR,102
129,0000007236,1,UNION NB,UNION NATIONAL BANK,3
130,0000007266,1,CITIZENS NB OF MERIDIAN,CITIZENS NATIONAL BANK OF MERI,542
131,0000007276,1,FIRST NB OF CATLIN,THE FIRST NATIONAL BANK OF CAT,397
132,0000007524,1,CENDERA BK NA,"CENDERA BANK, N.A.",49
133,0000007592,1,FIRST NB OF HARTFORD,FIRST NATIONAL BANK OF HARTFOR,86
134,0000007647,1,FIRST NB OF CHISHOLM,FIRST NATIONAL BANK,22
135,0000007685,1,FIRST NB,FIRST NATIONAL BANK OF LAYTON,15
136,0000007699,1,GLENS FALLS NB&TC,GLENS FALLS NATIONAL BANK,1050
137,0000007748,1,OZONA NB,OZONA NATIONAL BANK,37
138,0000007759,1,FIRST NB,FIRST NATL BANK OF POWHATAN PT,10
139,0000007768,1,FIRST NB OF JEANERETTE,THE FNB OF JEANERETTE,154
140,0000007814,1,JACKSBORO NB,JACKSBORO NATIONAL BANK,342
141,0000007898,1,NATIONAL BK OF WAUPUN,THE NATIONAL BANK OF WAUPUN,55
142,0000007899,1,FIRST NB OF WAYNESBORO,FIRST NATIONAL BK WAYNESBORO,58
143,0000008004,1,COLORADO NB,COLORADO NATIONAL BANK,2
144,0000008039,1,FIRST NB,FIRST NATIONAL BANK OF ONEIDA,189
145,0000008094,1,FIRST NB,FIRST NATIONAL BANK OF STANTON,7
146,0000008134,1,BLANCO NB,THE BLANCO NATIONAL BANK,73
147,0000008221,1,FARMERS & MERCHANTS NB,THE FARMERS AND MERCHANTS NATI,136
148,0000008345,1,FAYETTE CTY NB OF FAYETTEVILLE,FAYETTE COUNTY NATIONAL BANK,214
149,0000008515,1,CITIZENS NB,CITIZENS NATIONAL BANK,10
150,0000008531,1,COMMUNITY BK NA,"COMMUNITY BANK, N.A.",7872
151,0000008597,1,FIRST NB,THE FIRST NATIONAL BANK OF TAH,2
152,0000008606,1,FALLS CITY NB,FALLS CITY NATIONAL BANK,50
153,0000008671,1,FIRST NB HARTFORD,FIRST NATIONAL BANK - HARTFORD,221
154,0000008709,1,1ST NB,1ST NATIONAL BANK,1260
155,0000008757,1,FIRST NB OF ELK RIVER,FRIST NATIONAL BANK OF ELK RIV,80
156,0000008796,1,ARMED FORCES BK NA,"ARMED FORCES BANK, NA",674
157,0000008830,1,FIRST NB,FIRST NATIONAL BANK,112
158,0000008899,1,MOODY NB,MOODY NATIONAL BANK,167
159,0000008953,1,COMMUNITYONE BK NA,"COMMUNITYONE BANK, N.A.",1344
160,0000009050,1,FIRST NB OF MILACA,FIRST NATIONAL BANK OF MILACA,107
161,0000009179,1,PARK NB,THE PARK NATIONAL BANK,5720
162,0000009295,1,FIRST NB,FIRST NATIONAL BANK,146
163,0000009343,1,AMERICAN NB&TC,AMERICAN NATIONAL BANK & TRUST,647
164,0000009408,1,PEOPLES NB,"PEOPLES NATIONAL BANK, N.A.",934
165,0000009536,1,KINGSTON NB,KINGSTON NATIONAL BANK,199
,RESPONDENT ID,AGENCY,PANEL NAME,TRANSMITTAL SHEET NAME,LAR COUNT
166,0000009582,1,DIETERICH BK NA,"DIETERICH BANK, NA",391
167,0000009669,1,BRIDGEHAMPTON NB,THE BRIDGEHAMPTON NATIONAL BAN,141
168,0000009734,1,BRADFORD NB,BRADFORD NATIONAL BANK,153
169,0000009810,1,FIRST NB,FIRST NATIONAL BANK OF MERTZON,30
170,0000009859,1,SOMERVILLE NB,SOMERVILLE NATIONAL BANK,279
171,0000009888,1,FIRST NB,FIRST NATIONAL BANK,70
172,0000009924,1,POWELL VALLEY NB,POWELL VALLEY NATIONAL BANK,136
173,0000010004,1,FIRST NB,FIRST NATIONAL BANK,702
174,0000010045,1,FIRST MID-IL B&T NA,"FIRST MID-ILLINOIS B & T, NA",1706
175,0000010118,1,FIRST HOPE BK A NAT BKG ASSN,"FIRST HOPE BANK, NA",287
176,0000010180,1,FIRST NB OF WATERLOO,FIRST NATIONAL BANK OF WATERLO,572
177,0000010254,1,CUMBERLAND VALLEY NB&TC,CUMBERLAND VALLEY NATIONAL BAN,338
178,0000010354,1,MIDSTATES BK NA,MIDSTATES BANK,167
179,0000010406,1,FIRST NB OF NORTH AR,FIRST NATIONAL BANK OF NORTH A,166
180,0000010408,1,FIRST NB AMES IA,"FIRST NATIONAL BANK, AMES  IA",249
181,0000010420,1,TEXAS GULF BK NA,"TEXAS GULF BANK, N.A.",74
182,0000010465,1,FIRST NB,FIRST NATIONAL BANK,245
183,0000010476,1,TEXANA BK NA,TEXANA BANK,126
184,0000010536,1,CONWAY NB,THE CONWAY NATIONAL BANK,457
185,0000010646,1,BTH BK NA,"BTH BANK, NA",385
186,0000010680,1,FIRST NB OF SC,FIRST NATIONAL BANK OF SC,48
187,0000010789,1,CITIZENS NB,THE CITIZENS NATIONAL BANK,94
188,0000010807,1,FIRST NB OF WYNNE,FIRST NATIONAL BANK OF WYNNE,53
189,0000010823,1,FIRST NB OF ABSECON,FIRST NATIONAL BANK OF ABSECON,78
190,0000010844,1,BANK OF BRIDGER NA,BANK OF BRIDGER NA,99
191,0000010911,1,FIRST NB OF AVA,FIRST NATIONAL BANK OF AVA,118
192,0000010971,1,WESTERN NB,WESTERN NATIONAL BANK,24
193,0000011001,1,FIRST NB&TC,1ST NATIONAL BANK OF OKMULGEE,242
194,0000011019,1,FIRST NB,THE FIRST NATIONAL BANK OF TOM,64
195,0000011312,1,FIRST NB OF LAWRENCE COUNTY,FIRST NB OF LAWRENCE COUNTY,164
196,0000011343,1,FIRST NB,FIRST NATIONAL BANK OF PANDORA,160
197,0000011397,1,FIRST NB OK,FIRST NATIONAL BANK OF OKLAHOM,236
198,0000011412,1,FIRST NAT CMNTY BK,FIRST NATIONAL COMMUNITY BANK,287
199,0000011443,1,ILLINOIS NB,ILLINOIS NATIONAL BANK,1530
200,0000011526,1,EAGLE VALLEY BK NA,"EAGLE VALLEY BANK, NA",55
201,0000011544,1,CITIZENS NB OF SOMERSET,THE CITIZENS NATIONAL BANK OF,520
202,0000011573,1,CITIZENS NB,CITIZENS NATIONAL BANK,885
203,0000011583,1,EVANS BK NA,"EVANS BANK, N.A.",537
204,0000011715,1,LEMONT NB,LEMONT NATIONAL BANK,4
205,0000011798,1,FIRST NB OF LOUISBURG,FIRST NATIONAL BANK,36
206,0000011833,1,SOUTHCREST BK NA,"SOUTHCREST BANK, N.A.",129
207,0000011875,1,MERCHANTS NB,MERCHANTS NATIONAL BANK SACTO,14
208,0000011879,1,TEXAS NB,TEXAS NATIONAL BANK,94
209,0000012018,1,UPSTATE NB,THE UPSTATE NATIONAL BANK,67
210,0000012044,1,CENTRAL NB&TC,CENTRAL NATIONAL BANK,72
211,0000012072,1,FIRST NB ALASKA,FIRST NATIONAL BANK ALASKA,1133
212,0000012095,1,STROUD NB,STROUD NATIONAL BANK,71
213,0000012152,1,BANCCENTRAL NA,BANCCENTRAL N. A.,61
214,0000012158,1,CENTRAL NB OF POTEAU,CENTRAL NATIONAL BANK,97
215,0000012190,1,INCOMMONS BK NA,"INCOMMONS BANK, N.A.",163
216,0000012229,1,NATIONAL BK OF BLACKSBURG,NATIONAL BANK OF BLACKSBURG T/,444
217,0000012267,1,OLD POINT NB OF PHOEBUS,THE OLD POINT NATIONAL BANK OF,234
218,0000012308,1,TEXAS REPUBLIC BK NA,TEXAS REPUBLIC BANK,331
219,0000012346,1,SOUTHWEST NB,SOUTHWEST NATIONAL BANK,111
220,0000012395,1,FIRST NB OF COKATO,FIRST NATIONAL BANK OF COKATO,9
,RESPONDENT ID,AGENCY,PANEL NAME,TRANSMITTAL SHEET NAME,LAR COUNT
221,0000012456,1,FARMERS NB,THE FARMERS NATIONAL BANK,220
222,0000012471,1,NEFFS NB,THE NEFFS NATIONAL BANK,85
223,0000012523,1,FIRST NB OF LA,FIRST NATIONAL BANK OF LA,181
224,0000012543,1,STATE NB,STATE NATIONAL BANK BIG SPRING,21
225,0000012591,1,VISION BK NA,VISION BANK,907
226,0000012739,1,FIRST NB,FIRST NATIONAL BANK OF EVANT,54
227,0000012810,1,SAVANNAH BK NA,"SAVANNAH BANK, N.A.",114
228,0000012850,1,FIRST LIBERTY NB,FIRST LIBERTY NATIONAL BANK,188
229,0000012898,1,COMMUNITYBANK TX NA,COMMUNITYBANK OF TEXAS NA,359
230,0000012947,1,FIRST NB OF MOOSE LAKE,FNB MOOSE LAKE,84
231,0000012955,1,CITIZENS NB OF GREATER STL,CITIZENS NATIONAL BANK,474
232,0000012968,1,KLEBERG BK NA,"KLEBERG BANK, N.A.",297
233,0000013022,1,STATE NB,STATE NATIONAL BANK IN WEST,7
234,0000013078,1,PIONEER NB OF DULUTH,PIONEER NATIONAL BANK,32
235,0000013102,1,FIRST NB OF MT DORA,THE FNB OF MOUNT DORA,47
236,0000013116,1,WESTERN NB,WESTERN NATIONAL BANK,66
237,0000013126,1,FIRST NB OF LONG ISLAND,THE FIRST NATIONAL BANK OF LI,629
238,0000013202,1,FIRST NB OF BANGOR,THE FIRST NATIONAL BANK OF BAN,81
239,0000013347,1,GIRARD NB,THE GIRARD NATIONAL BANK,516
240,0000013431,1,CATTLE NB & TR CO,CATTLE NATIONAL BANK AND TRUST,134
241,0000013443,1,CITIZENS NB,CITIZENS NATIONAL BANK,969
242,0000013448,1,FIRST NB GEORGETOWN,FIRST NATIONAL BANK IN GEORGET,11
243,0000013478,1,FIRST NB PANA,FIRST NATIONAL BANK OF PANA,99
244,0000013479,1,LINCOLN NB OF HODGENVLLE,LINCOLN NATIONAL BANK,277
245,0000013516,1,CITIZENS NB,CITIZENS NATIONAL BANK OF TEXA,411
246,0000013579,1,FIRST NB IN TREMONT,FIRST NATIONAL BANK IN TREMONT,56
247,0000013596,1,PEOPLES NB,PEOPLES NATIONAL BANK,122
248,0000013637,1,FIRST NB OF EAST ARKANSAS,FIRST NATL BK OF EAST ARK,158
249,0000013675,1,FIRST NB OF BOSQUE CTY,FIRST NATIONAL BANK,79
250,0000013678,1,BRENHAM NB,BRENHAM NATIONAL BANK,22
251,0000013731,1,CLASSIC BK NA,"CLASSIC BANK, NA",115
252,0000013778,1,EXTRACO BKS NA,"EXTRACO BANKS, NA",1094
253,0000013790,1,ALERUS FNCL NA,"ALERUS FINANCIAL, N.A.",4762
254,0000013809,1,FIRST NB IN PAXTON,FIRST NATIONAL BANK IN PAXTON,16
255,0000013835,1,MILLBURY NB,MILLBURY NATIONAL BANK,71
256,0000013847,1,CITIZENS NB OF WOODSFIELD,THE CITIZENS NATIONAL BANK,111
257,0000013879,1,NATIONAL EXCHANGE B&T,NATIONAL EXCHANGE B&T,1171
258,0000013934,1,FIRST-LOCKHART NB,FIRST LOCKHART NATIONAL BANK,76
259,0000013944,1,GREENVILLE NB,GREENVILLE NATIONAL BANK,315
260,0000013972,1,MINNSTAR BK NA,MINNSTAR BANK N.A.,47
261,0000014005,1,FIRST TEXOMA NB,FIRST TEXOMA NATIONAL BANK,122
262,0000014012,1,SOUTHTRUST BK NA,SOUTHTRUST BANK NA,31
263,0000014062,1,HILLSDALE CTY NB,HILLSDALE COUNTY NATIONAL BANK,813
264,0000014109,1,NATIONAL BK OF CMRC,NATIONAL BANK OF COMMERCE,619
265,0000014144,1,FIRST NB IN HOWELL,FIRST NATIONAL BANK IN HOWELL,125
266,0000014149,1,HASKELL NB,HASKELL NATIONAL BANK,42
267,0000014163,1,FIRST NB,FIRST NATIONAL BANK,71
268,0000014168,1,FIRST NB IN DERIDDER,FIRST NB IN DERIDDER,240
269,0000014206,1,AMARILLO NB,AMARILLO NATIONAL BANK,4019
270,0000014221,1,FIRST NB&TC ROCHELLE,FIRST NATIONAL BANK AND TRUST,210
271,0000014240,1,NEWFIELD NB,NEWFIELD NATIONAL BANK,279
272,0000014252,1,FIRST NB,FIRST NATIONAL BANK,480
273,0000014255,1,CITIZENS NB OF QUITMAN,THE CITIZENS NATIONAL BANK,59
274,0000014268,1,FIRST NB,THE FIRST NATIONAL BANK IN CAR,40
275,0000014310,1,FIRST NB IN STAUNTON,FIRST NATIONAL BANK IN STAUNTO,750
,RESPONDENT ID,AGENCY,PANEL NAME,TRANSMITTAL SHEET NAME,LAR COUNT
276,0000014315,1,SECURITY NB,THE SECURITY NATIONAL BANK,134
277,0000014328,1,FIRST NB,FIRST NATIONAL BANK,267
278,0000014347,1,CNB B&T NA,CNB BANK & TRUST NA,676
279,0000014351,1,HONDO NB,THE HONDO NATIONAL BANK,97
280,0000014369,1,STILLMAN BANCCORP NA,"STILLMAN BANCCORP, N. A.",672
281,0000014371,1,COMMERCIAL BK OF TX NA,"COMMERCIAL BANK OF TEXAS, N.A.",752
282,0000014397,1,BARABOO NB,THE BARABOO NATIONAL BANK,411
283,0000014418,1,PEOPLES NB OF KEWANEE,PEOPLES NATIONAL BANK OF KEWAN,55
284,0000014429,1,HELENA NB,HELENA NATIONAL BANK,14
285,0000014447,1,BROADWAY NB,BROADWAY NATIONAL BANK,464
286,0000014458,1,FARMERS MRCH NB PAXTON,FARMERS-MERCHANTS NATIONAL BAN,56
287,0000014479,1,BUENA VISTA NB,BUENA VISTA NATIONAL BANK,247
288,0000014488,1,MERCHANTS BK NA,"MERCHANTS BANK, N.A.",3489
289,0000014510,1,NATIONAL BK,NATIONAL BANK,299
290,0000014532,1,FIRST NB,FIRST NATIONAL BANK OF CLINTON,79
291,0000014546,1,FSNB NA,FORT SILL NATIONAL BANK,244
292,0000014564,1,FIRST BKR TC NA,FIRST BANKERS TRUST COMPANY,483
293,0000014566,1,FOREST PARK NB&TC,FOREST PARK NATIONAL BANK & TR,85
294,0000014607,1,NATIONAL BK OF PETERSBURG,NATIONAL BANK OF PETERSBURG,113
295,0000014617,1,NATIONAL BK ST ANNE,NATIONAL BANK OF ST ANNE,50
296,0000014619,1,FIRST NB OF PULASKI,FIRST NATIONAL BANK OF PULASKI,536
297,0000014680,1,FIRST NB OF SCOTIA,FIRST NATIONAL BANK OF SCOTIA,218
298,0000014688,1,ALBANY B&TC NA,ALBANY BANK AND TRUST COMPANY,36
299,0000014717,1,FIRST NB,FIRST NATIONAL BANK,19
300,0000014740,1,FIRST NB AMER,FIRST NATIONAL BANK OF AMERICA,3664
301,0000014757,1,FISHER NB,FISHER NATIONAL BANK,235
302,0000014807,1,CITY NB OF WV,CITY NATIONAL BANK OF WV,4577
303,0000014821,1,FIRST NB,FIRST NATIONAL BANK,169
304,0000014838,1,SEACOAST NB,SEACOAST NATIONAL BANK,3016
305,0000014842,1,FIRST NB,FIRST NATIONAL BANK OF FORT ST,18
306,0000014898,1,COMMUNITY NAT B&T TX,COMMUNITY NATIONAL BANK,317
307,0000014905,1,FIRST NB,FIRST NATIONAL BANK OF ALVIN,12
308,0000014911,1,HAWAII NB,HAWAII NATIONAL BANK,94
309,0000014991,1,SUNRISE BKS NA,SUNRISE BANKS N.A.,246
310,0000014993,1,FIRST NB OF BROOKFIELD,FIRST NATIONAL BANK BROOKFIELD,38
311,0000015000,1,FIRST NB OF S MIAMI,FIRST NATIONAL BANK OF S MIAMI,46
312,0000015037,1,AMERICAN HERITAGE NB,AMERICAN HERITAGE NATIONAL BAN,179
313,0000015058,1,PIKES PEAK NB,PIKES PEAK NATIONAL BANK,32
314,0000015070,1,NATIONAL BK OF NEW YORK CITY,NATIONAL BANK OF NEW YORK CITY,22
315,0000015089,1,FIRST NB OF NORTHERN CA,FIRST NATIONAL BANK OF NORCAL,124
316,0000015108,1,LOS ALAMOS NB,LOS ALAMOS NATIONAL BANK,467
317,0000015161,1,NEIGHBORHOOD NB,NEIGHBORHOOD NATIONAL BANK,117
318,0000015247,1,GRUNDY NB,GRUNDY NATIONAL BANK,53
319,0000015257,1,COMMERCIAL NB,COMMERCIAL NATIONAL BANK,71
320,0000015292,1,INWOOD NB,INWOOD NATIONAL BANK,924
321,0000015302,1,MONTGOMERY BK NA,"MONTGOMERY BANK, NA",554
322,0000015359,1,HILLTOP NB,HILLTOP NATIONAL BANK,263
323,0000015379,1,SECURITY NB OF OMAHA,SECURITY NATIONAL BANK,180
324,0000015401,1,HERITAGE BK NA,HERITAGE BANK NA,478
325,0000015417,1,COMMUNITY NB,COMMUNITY NATIONAL BANK,125
326,0000015429,1,FIRSTAR BK NA,FIRSTAR BANK,770
327,0000015435,1,AMERICAN NB,AMERICAN NATIONAL ABNK,1984
328,0000015482,1,RELYANCE BK NA,"RELYANCE BANK, N.A.",200
329,0000015543,1,CONSUMERS NB,CONSUMERS NATIONAL BANK,214
330,0000015572,1,FIRST NB OF GRIFFIN,FIRST NATIONAL BANK OF GRIFFIN,208
,RESPONDENT ID,AGENCY,PANEL NAME,TRANSMITTAL SHEET NAME,LAR COUNT
331,0000015576,1,STEARNS BK NA,STEARNS BANK NA,71
332,0000015592,1,ACADEMY BK NA,ACADEMY NATIONAL BANK,286
333,0000015593,1,HOMETOWN BK NA,"HOMETOWN BANK, N. A.",203
334,0000015606,1,FORT HOOD NB,FORT HOOD NATIONAL BANK,12
335,0000015608,1,FIDELITY NB,FIDELITY NATIONAL BANK,102
336,0000015651,1,SOUTHEAST FIRST NAT BK,SOUTHEAST FIRST NATIONAL BANK,27
